No,Judul Berita,Tautan,Kategori
55,Sebagian Pasien Corona Dilaporkan Mengalami Gejala Penyakit Saraf,https://health.detik.com/berita-detikhealth/d-4963383/sebagian-pasien-corona-dilaporkan-mengalami-gejala-penyakit-saraf,health
56,"Dear Wanita, Ini 6 Arti Warna Darah saat Menstruasi",https://health.detik.com/berita-detikhealth/d-4854083/dear-wanita-ini-6-arti-warna-darah-saat-menstruasi,health
57,Sakit di 3 Bagian Tubuh Ini? Waspada Sakit Jantung!,https://health.detik.com/berita-detikhealth/d-4911565/sakit-di-3-bagian-tubuh-ini-waspada-sakit-jantung,health
58,Pemerintah Ingatkan Pembawa Virus Corona Tak Selalu Tampak Sakit,https://health.detik.com/berita-detikhealth/d-4954293/pemerintah-ingatkan-pembawa-virus-corona-tak-selalu-tampak-sakit,health
59,5 Penyebab Rambut Beruban di Usia Muda,https://health.detik.com/berita-detikhealth/d-4877327/5-penyebab-rambut-beruban-di-usia-muda,health
60,Ribuan Masker N95 di AS Didekontaminasi untuk Dipakai Kembali,https://health.detik.com/berita-detikhealth/d-4975037/ribuan-masker-n95-di-as-didekontaminasi-untuk-dipakai-kembali,health
61,110 Negara Desak WHO Investigasi Asal-Usul Virus Corona,https://health.detik.com/berita-detikhealth/d-5033391/110-negara-desak-who-investigasi-asal-usul-virus-corona,health
62,5 Cara Cegah Gangguan Pencernaan Saat Puasa,https://health.detik.com/berita-detikhealth/d-5012685/5-cara-cegah-gangguan-pencernaan-saat-puasa,health
63,Viral Video Tenaga Medis Hibur Diri Bikin Parodi Titanic Saat Pandemi Corona,https://health.detik.com/berita-detikhealth/d-4980805/viral-video-tenaga-medis-hibur-diri-bikin-parodi-titanic-saat-pandemi-corona,health
64,Viral Surat Terbuka Guru Besar UGM Sebut AC Permudah Penularan Corona,https://health.detik.com/berita-detikhealth/d-4970576/viral-surat-terbuka-guru-besar-ugm-sebut-ac-permudah-penularan-corona,health
65,Foto: Amerika Mulai Uji Coba Vaksin Corona ke Manusia,https://health.detik.com/fotohealth/d-4942875/foto-amerika-mulai-uji-coba-vaksin-corona-ke-manusia,health
66,11 Orang Kontak Langsung dengan WN Jepang di Bali Negatif Corona,https://health.detik.com/berita-detikhealth/d-4925825/11-orang-kontak-langsung-dengan-wn-jepang-di-bali-negatif-corona,health
67,"Jaga Imun Tubuh, Ini Cara Aman Konsumsi Vitamin C bagi Penderita Maag",https://health.detik.com/berita-detikhealth/d-5049196/jaga-imun-tubuh-ini-cara-aman-konsumsi-vitamin-c-bagi-penderita-maag,health
68,"Manfaat Jeruk yang Kaya Vitamin C, Bisa Tangkal Virus Corona",https://health.detik.com/berita-detikhealth/d-4938616/manfaat-jeruk-yang-kaya-vitamin-c-bisa-tangkal-virus-corona,health
69,"Kekurangan Ventilator, AS Tetapkan Prioritas Pemakaian pada Pasien Corona",https://health.detik.com/berita-detikhealth/d-4967442/kekurangan-ventilator-as-tetapkan-prioritas-pemakaian-pada-pasien-corona,health
70,WHO Imbau Kurangi Pemakaian Uang Kertas untuk Cegah Virus Corona,https://health.detik.com/berita-detikhealth/d-4927567/who-imbau-kurangi-pemakaian-uang-kertas-untuk-cegah-virus-corona,health
71,"Lucinta Luna Positif Amphetamin, Obat Apakah Itu?",https://health.detik.com/berita-detikhealth/d-4902731/lucinta-luna-positif-amphetamin-obat-apakah-itu,health
72,"Di RI Hanya 13% Manula yang Masih Bugar, Ini Sebabnya",https://health.detik.com/berita-detikhealth/d-4926848/di-ri-hanya-13-manula-yang-masih-bugar-ini-sebabnya,health
73,"Sebaran Pasien Virus Corona di Indonesia, 252 Sembuh, 280 Meninggal",https://health.detik.com/berita-detikhealth/d-4971334/sebaran-pasien-virus-corona-di-indonesia-252-sembuh-280-meninggal,health
74,"Masker Kain Boleh Dipakai Ulang, Bagaimana Cara Mencucinya Agar Steril?",https://health.detik.com/berita-detikhealth/d-4960875/masker-kain-boleh-dipakai-ulang-bagaimana-cara-mencucinya-agar-steril,health
75,"Lina Mantan Istri Sule Meninggal, Kenali Pertolongan Pertama Serangan Jantung",https://health.detik.com/berita-detikhealth/d-4846217/lina-mantan-istri-sule-meninggal-kenali-pertolongan-pertama-serangan-jantung,health
76,New York Lakukan Uji Klinis Obat Maag untuk Tangani Pasien Corona,https://health.detik.com/berita-detikhealth/d-4992606/new-york-lakukan-uji-klinis-obat-maag-untuk-tangani-pasien-corona,health
77,Nenek 95 Tahun Jadi Wanita Tertua yang Sembuh dari Corona di Italia,https://health.detik.com/berita-detikhealth/d-4952169/nenek-95-tahun-jadi-wanita-tertua-yang-sembuh-dari-corona-di-italia,health
78,"Pandemi Corona di Indonesia, Lawan dengan Daya Tahan Tubuh Kuat",https://health.detik.com/berita-detikhealth/d-4963041/pandemi-corona-di-indonesia-lawan-dengan-daya-tahan-tubuh-kuat,health
79,"Soal Rumor Virus Corona Sengaja Diciptakan, Ini Komentar Ahli Mikrobiologi",https://health.detik.com/berita-detikhealth/d-4879543/soal-rumor-virus-corona-sengaja-diciptakan-ini-komentar-ahli-mikrobiologi,health
80,"Hal yang Harus Kamu Hindari saat Makan Siang, Termasuk Makan di Meja Kerja",https://health.detik.com/berita-detikhealth/d-5046300/hal-yang-harus-kamu-hindari-saat-makan-siang-termasuk-makan-di-meja-kerja,health
81,"Heboh Karena Virus Corona, Memangnya Siapa Sih yang Wajib Pakai Masker?",https://health.detik.com/berita-detikhealth/d-4902084/heboh-karena-virus-corona-memangnya-siapa-sih-yang-wajib-pakai-masker,health
82,Kronologi 2 Pasien Pertama Virus Corona COVID-19 di Indonesia,https://health.detik.com/berita-detikhealth/d-4922758/kronologi-2-pasien-pertama-virus-corona-covid-19-di-indonesia,health
83,BNPB Jamin Tempat Observasi WNI di Pulau Sebaru Lebih Baik dari Natuna,https://health.detik.com/berita-detikhealth/d-4915587/bnpb-jamin-tempat-observasi-wni-di-pulau-sebaru-lebih-baik-dari-natuna,health
84,"Haru, Bayi Prematur Asal Skotlandia Ini Berhasil Sembuh dari Virus Corona",https://health.detik.com/berita-detikhealth/d-4988022/haru-bayi-prematur-asal-skotlandia-ini-berhasil-sembuh-dari-virus-corona,health
85,Trump Klaim Punya Bukti Kuat Virus Corona Berasal dari Laboratorium Wuhan,https://health.detik.com/berita-detikhealth/d-4998406/trump-klaim-punya-bukti-kuat-virus-corona-berasal-dari-laboratorium-wuhan,health
86,"Sempat Sepelekan Corona, Pria di AS Terinfeksi hingga Meninggal Dunia",https://health.detik.com/true-story/d-4987226/sempat-sepelekan-corona-pria-di-as-terinfeksi-hingga-meninggal-dunia,health
87,"Viral, Ade Rai Bagikan Video Transformasi Mantan Bocah Tergemuk di Dunia",https://health.detik.com/kebugaran/d-4868702/viral-ade-rai-bagikan-video-transformasi-mantan-bocah-tergemuk-di-dunia,health
88,"Jika Sudah Dinyatakan Sembuh, Apa Pasien Bisa Jadi Kebal Corona?",https://health.detik.com/berita-detikhealth/d-4933195/jika-sudah-dinyatakan-sembuh-apa-pasien-bisa-jadi-kebal-corona,health
89,"Bintang Film James Bond, Honor Blackman Meninggal di Usia 94 Tahun",https://health.detik.com/berita-detikhealth/d-4967915/bintang-film-james-bond-honor-blackman-meninggal-di-usia-94-tahun,health
90,"Andrea Dian Sembuh dari Corona, Ini Artinya",https://health.detik.com/berita-detikhealth/d-4965904/andrea-dian-sembuh-dari-corona-ini-artinya,health
91,"Viral Tips Cuci Kasur Bekas Banjir Pakai Kaporit, Hati-hati Ini Risikonya",https://health.detik.com/berita-detikhealth/d-4846351/viral-tips-cuci-kasur-bekas-banjir-pakai-kaporit-hati-hati-ini-risikonya,health
92,"48 Meninggal dari 514 Kasus, Tingkat Kematian Corona RI 9,3 Persen",https://health.detik.com/berita-detikhealth/d-4949025/48-meninggal-dari-514-kasus-tingkat-kematian-corona-ri-93-persen,health
93,"Kurang dari 7 Jam, 98 Orang Pasien Virus Corona Meninggal di New York",https://health.detik.com/berita-detikhealth/d-4958153/kurang-dari-7-jam-98-orang-pasien-virus-corona-meninggal-di-new-york,health
94,"Anak dan Remaja Mudah Stres Saat Pandemi Corona, Berikut Cara Mengatasinya",https://health.detik.com/berita-detikhealth/d-4998672/anak-dan-remaja-mudah-stres-saat-pandemi-corona-berikut-cara-mengatasinya,health
95,10 Wilayah Indonesia dengan Penambahan Kasus Corona Terbanyak 27 Mei,https://health.detik.com/berita-detikhealth/d-5030524/10-wilayah-indonesia-dengan-penambahan-kasus-corona-terbanyak-27-mei,health
96,Kenali Penyebab Penyakit Antraks dan Gejalanya,https://health.detik.com/berita-detikhealth/d-4866114/kenali-penyebab-penyakit-antraks-dan-gejalanya,health
97,"Hoax Virus Corona Merajalela, Kenapa Orang Mudah Percaya Berita Bohong?",https://health.detik.com/berita-detikhealth/d-4920093/hoax-virus-corona-merajalela-kenapa-orang-mudah-percaya-berita-bohong,health
98,Corona Bikin Orang Malas Bercinta,https://health.detik.com/berita-detikhealth/d-5009459/corona-bikin-orang-malas-bercinta,health
99,"Jahe dan Temulawak Langka Imbas Corona, Ilmuwan UI Kembangkan Propolis",https://health.detik.com/berita-detikhealth/d-4927865/jahe-dan-temulawak-langka-imbas-corona-ilmuwan-ui-kembangkan-propolis,health
100,Menanti Bukti 'Antivirus' Eucalyptus Lenyapkan Corona dari Muka Bumi,https://health.detik.com/berita-detikhealth/d-5020977/menanti-bukti-antivirus-eucalyptus-lenyapkan-corona-dari-muka-bumi,health
101,"Indonesia Terdampak Virus Corona, Davis Cup 2020 di Jakarta Jalan Terus",https://sport.detik.com/raket/d-4925009/indonesia-terdampak-virus-corona-davis-cup-2020-di-jakarta-jalan-terus,sport
102,"ONE Championship Hadir di Jakarta Bulan Depan, Ini Deretan Duelnya",https://sport.detik.com/sport-lain/d-4854814/one-championship-hadir-di-jakarta-bulan-depan-ini-deretan-duelnya,sport
103,"Hafiz/Gloria Dirugikan Aturan BWF, tapi Tetap Harus Lolos Olimpiade",https://sport.detik.com/raket/d-5040433/hafizgloria-dirugikan-aturan-bwf-tapi-tetap-harus-lolos-olimpiade,sport
104,Greysia/Apriyani Singkirkan Wakil Kanada,https://sport.detik.com/fotosport/d-4862380/greysiaapriyani-singkirkan-wakil-kanada,sport
105,"Jakarta Banjir, Persiapan Formula E Tetap Jalan",https://sport.detik.com/sport-lain/d-4914239/jakarta-banjir-persiapan-formula-e-tetap-jalan,sport
106,Quartararo: Aku Belum Siap Bertarung untuk Titel Juara Dunia,https://sport.detik.com/moto-gp/d-4900979/quartararo-aku-belum-siap-bertarung-untuk-titel-juara-dunia,sport
107,KONI Optimistis PON Papua Bakal Ramai Penonton,https://sport.detik.com/sport-lain/d-4908808/koni-optimistis-pon-papua-bakal-ramai-penonton,sport
108,Marc Marquez Jadi Anak Emas di Honda? Ini Kata Crutchlow,https://sport.detik.com/moto-gp/d-4975570/marc-marquez-jadi-anak-emas-di-honda-ini-kata-crutchlow,sport
109,Panpel PON Tak Boleh Ulangi Keburukan SEA Games 2019,https://sport.detik.com/sport-lain/d-4908429/panpel-pon-tak-boleh-ulangi-keburukan-sea-games-2019,sport
110,Kata Vinales Soal Rider Spesialis Tes Pramusim MotoGP,https://sport.detik.com/moto-gp/d-4854768/kata-vinales-soal-rider-spesialis-tes-pramusim-motogp,sport
111,KONI Pusat Gelar Indonesia Marathon 2020,https://sport.detik.com/sport-lain/d-4917587/koni-pusat-gelar-indonesia-marathon-2020,sport
112,"Waspada Virus Corona, Final Four Proliga Pindah Lokasi dan Tanpa Penonton",https://sport.detik.com/sport-lain/d-4943502/waspada-virus-corona-final-four-proliga-pindah-lokasi-dan-tanpa-penonton,sport
113,"Lawan Ganda Nonunggulan, Kenapa Greysia/Apriyani Menang Susah Payah?",https://sport.detik.com/raket/d-4860679/lawan-ganda-nonunggulan-kenapa-greysiaapriyani-menang-susah-payah,sport
114,Anthony Ginting dan Gregoria Tersingkir di Babak 32 Besar Malaysia Masters,https://sport.detik.com/raket/d-4851962/anthony-ginting-dan-gregoria-tersingkir-di-babak-32-besar-malaysia-masters,sport
115,Lorenzo Bagi Resep Mengalahkan Marquez,https://sport.detik.com/moto-gp/d-5021721/lorenzo-bagi-resep-mengalahkan-marquez,sport
116,MotoGP Argentina Berpeluang Untuk Tetap Digelar,https://sport.detik.com/moto-gp/d-5030709/motogp-argentina-berpeluang-untuk-tetap-digelar,sport
117,"Soal Pemotongan Gaji Pemain, Dirut IBL: Jika Terpaksa Silakan Lakukan",https://sport.detik.com/basket/d-4972691/soal-pemotongan-gaji-pemain-dirut-ibl-jika-terpaksa-silakan-lakukan,sport
118,Prediksi Derby Hot Inter Vs AC Milan di Awal 2020,https://sport.detik.com/detiktv/d-4891833/prediksi-derby-hot-inter-vs-ac-milan-di-awal-2020,sport
119,"Kendurkan Permainan, Kevin/Marcus Nyaris Kalah",https://sport.detik.com/raket/d-4860865/kendurkan-permainan-kevinmarcus-nyaris-kalah,sport
120,"Thailand Masters: Fitriani Kalah, Hafiz/Gloria ke Babak Kedua",https://sport.detik.com/raket/d-4869413/thailand-masters-fitriani-kalah-hafizgloria-ke-babak-kedua,sport
121,Ronaldo Bantu Juventus Singkirkan AS Roma di Coppa Italia,https://sport.detik.com/detiktv/d-4870116/ronaldo-bantu-juventus-singkirkan-as-roma-di-coppa-italia,sport
122,Kobe Bryant-Shaquille O'Neal: Antara Cinta dan Benci,https://sport.detik.com/basket/d-4875362/kobe-bryant-shaquille-oneal-antara-cinta-dan-benci,sport
123,"Dampak Corona, Intensitas Latihan David Jacobs Jadi Berkurang",https://sport.detik.com/sport-lain/d-4946015/dampak-corona-intensitas-latihan-david-jacobs-jadi-berkurang,sport
124,"Songsong Daihatsu Indonesia Masters 2020, Istora Hampir Siap 100 Persen",https://sport.detik.com/raket/d-4856191/songsong-daihatsu-indonesia-masters-2020-istora-hampir-siap-100-persen,sport
125,GP Singapura 2020 Batal Digelar!,https://sport.detik.com/f1/d-5051186/gp-singapura-2020-batal-digelar,sport
126,Enam Emas di Kejuaraan Angkat Besi Belum Puaskan PB PABSI,https://sport.detik.com/sport-lain/d-4884401/enam-emas-di-kejuaraan-angkat-besi-belum-puaskan-pb-pabsi,sport
127,Mengenang Kobe Bryant Lewat Angka-Angka Legendarisnya,https://sport.detik.com/basket/d-4874977/mengenang-kobe-bryant-lewat-angka-angka-legendarisnya,sport
128,Menpora Imbau Federasi Cabor Jangan Panik Soal Corona,https://sport.detik.com/sport-lain/d-4922203/menpora-imbau-federasi-cabor-jangan-panik-soal-corona,sport
129,"Roma Masih Terpuruk, Kini Dikalahkan Atalanta",https://sport.detik.com/detiktv/d-4901061/roma-masih-terpuruk-kini-dikalahkan-atalanta,sport
130,"Tyson Fury ke Rakyat Inggris: Dengarkan Boris, Tetap di Rumah",https://sport.detik.com/g-sport/d-4951495/tyson-fury-ke-rakyat-inggris-dengarkan-boris-tetap-di-rumah,sport
131,Jadwal Final Thailand Masters,https://sport.detik.com/raket/d-4873491/jadwal-final-thailand-masters,sport
132,"Polemik 10 Cabor PON 2020 Berpeluang Tak Digelar, Menpora Ogah Memaksa",https://sport.detik.com/sport-lain/d-4936282/polemik-10-cabor-pon-2020-berpeluang-tak-digelar-menpora-ogah-memaksa,sport
133,Ini Blunder De Gea yang Bikin Roy Keane Ingin Membunuhnya,https://sport.detik.com/detiktv/d-4922502/ini-blunder-de-gea-yang-bikin-roy-keane-ingin-membunuhnya,sport
134,Rashford Melihat Sancho: Pemain Imajinatif,https://sport.detik.com/detiktv/d-4962106/rashford-melihat-sancho-pemain-imajinatif,sport
135,"Pemain RI ke Filipina, PBSI Juga Fokus Antisipasi Virus Corona",https://sport.detik.com/raket/d-4885198/pemain-ri-ke-filipina-pbsi-juga-fokus-antisipasi-virus-corona,sport
136,Kylian Mbappe Terjangkit Virus Corona?,https://sport.detik.com/detiktv/d-4934267/kylian-mbappe-terjangkit-virus-corona,sport
137,Video: Mobil yang Ditumpangi Kento Momota Tabrak Truk di Malaysia,https://sport.detik.com/detiktv/d-4857086/video-mobil-yang-ditumpangi-kento-momota-tabrak-truk-di-malaysia,sport
138,Rossi Buka Peluang Pindah ke Petronas Yamaha SRT demi Perpanjang Karier,https://sport.detik.com/moto-gp/d-4846065/rossi-buka-peluang-pindah-ke-petronas-yamaha-srt-demi-perpanjang-karier,sport
139,"Tiket Olimpiade Sudah, Petembak Vidya Rafika Akan Jalani Uji Coba",https://sport.detik.com/sport-lain/d-4920183/tiket-olimpiade-sudah-petembak-vidya-rafika-akan-jalani-uji-coba,sport
140,"Piala Thomas dan Uber 2020 Ditunda akibat Corona, Ini Kata PBSI",https://sport.detik.com/raket/d-4948063/piala-thomas-dan-uber-2020-ditunda-akibat-corona-ini-kata-pbsi,sport
